Dinner Date,4.7,4.8,4.9,4.11,4.13,4.14,4.16,4.18,4.19,4.2
Father DH Touches,2,4,3,2,4,2,2,2,1,2
Mother DH Touches,0,4,3,1,1,2,2,2,0,0
